Week,Machine Learning
2015-12-06,37.8
2015-12-13,37
2015-12-20,27.8
2015-12-27,27.7
2016-01-03,34
2016-01-10,34.8
2016-01-17,35.8
2016-01-24,36.9
2016-01-31,36
2016-02-07,36.2
2016-02-14,35.1
2016-02-21,36.3
2016-02-28,37
2016-03-06,42
2016-03-13,40
2016-03-20,38.7
2016-03-27,40.5
2016-04-03,41.9
2016-04-10,40
2016-04-17,41.2
2016-04-24,40
2016-05-01,40.7
2016-05-08,41.3
2016-05-15,43.2
2016-05-22,42.6
2016-05-29,39.9
2016-06-05,40.8
2016-06-12,43.9
2016-06-19,42.5
2016-06-26,43.3
2016-07-03,38.6
2016-07-10,38.4
2016-07-17,37.2
2016-07-24,40
2016-07-31,41.9
2016-08-07,39
2016-08-14,37
2016-08-21,46.6
2016-08-28,44.7
2016-09-04,44.3
2016-09-11,47.6
2016-09-18,50.1
2016-09-25,51.2
2016-10-02,50
2016-10-09,48.5
2016-10-16,54
2016-10-23,56.9
2016-10-30,53
2016-11-06,51.9
2016-11-13,60
2016-11-20,55.6
2016-11-27,58.6
2016-12-04,60.9
2016-12-11,59.3
2016-12-18,57.7
2016-12-25,44.8
2017-01-01,56.8
2017-01-08,64.6
2017-01-15,63.6
2017-01-22,64.3
2017-01-29,64.7
2017-02-05,66.3
2017-02-12,68.9
2017-02-19,68.6
2017-02-26,70.1
2017-03-05,70
2017-03-12,72
2017-03-19,71.9
2017-03-26,73.2
2017-04-02,72.6
2017-04-09,76.4
2017-04-16,72
2017-04-23,74.3
2017-04-30,75
2017-05-07,75
2017-05-14,76.4
2017-05-21,80
2017-05-28,75.4
2017-06-04,79
2017-06-11,77.3
2017-06-18,79.5
2017-06-25,75
2017-07-02,71
2017-07-09,75.7
2017-07-16,79.8
2017-07-23,77
2017-07-30,78.9
2017-08-06,76.4
2017-08-13,74.1
2017-08-20,74.3
2017-08-27,78.9
2017-09-03,80
2017-09-10,87.1
2017-09-17,89
2017-09-24,83.7
2017-10-01,86.2
2017-10-08,92.5
2017-10-15,91.6
2017-10-22,97.9
2017-10-29,96
2017-11-05,98.3
2017-11-12,97.1
2017-11-19,89.6
2017-11-26,99.1
2017-12-02,100
