Week, Blockchain
2012-12-02,0
2012-12-09,1
2012-12-16,0
2012-12-23,0
2012-12-30,1
2013-01-06,0
2013-01-13,0
2013-01-20,1
2013-01-27,0
2013-02-03,1
2013-02-10,1
2013-02-17,1
2013-02-24,1
2013-03-03,1
2013-03-10,1
2013-03-17,2
2013-03-24,2
2013-03-31,3
2013-04-07,5
2013-04-14,3
2013-04-21,2
2013-04-28,2
2013-05-05,2
2013-05-12,1
2013-05-19,2
2013-05-26,1
2013-06-02,1
2013-06-09,1
2013-06-16,1
2013-06-23,1
2013-06-30,1
2013-07-07,1
2013-07-14,1
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,2
2013-09-01,1
2013-09-08,1
2013-09-15,1
2013-09-22,1
2013-09-29,1
2013-10-06,2
2013-10-13,2
2013-10-20,2
2013-10-27,2
2013-11-03,4
2013-11-10,4
2013-11-17,7
2013-11-24,9
2013-12-01,9
2013-12-08,6
2013-12-15,6
2013-12-22,5
2013-12-29,5
2014-01-05,6
2014-01-12,5
2014-01-19,6
2014-01-26,6
2014-02-02,6
2014-02-09,7
2014-02-16,6
2014-02-23,7
2014-03-02,7
2014-03-09,5
2014-03-16,7
2014-03-23,5
2014-03-30,4
2014-04-06,5
2014-04-13,4
2014-04-20,4
2014-04-27,4
2014-05-04,4
2014-05-11,4
2014-05-18,4
2014-05-25,4
2014-06-01,4
2014-06-08,4
2014-06-15,4
2014-06-22,4
2014-06-29,4
2014-07-06,4
2014-07-13,4
2014-07-20,4
2014-07-27,4
2014-08-03,4
2014-08-10,5
2014-08-17,5
2014-08-24,4
2014-08-31,4
2014-09-07,4
2014-09-14,4
2014-09-21,4
2014-09-28,5
2014-10-05,5
2014-10-12,4
2014-10-19,4
2014-10-26,4
2014-11-02,4
2014-11-09,4
2014-11-16,4
2014-11-23,4
2014-11-30,4
2014-12-07,4
2014-12-14,5
2014-12-21,5
2014-12-28,4
2015-01-04,4
2015-01-11,5
2015-01-18,5
2015-01-25,5
2015-02-01,4
2015-02-08,5
2015-02-15,5
2015-02-22,4
2015-03-01,4
2015-03-08,5
2015-03-15,4
2015-03-22,5
2015-03-29,5
2015-04-05,5
2015-04-12,4
2015-04-19,4
2015-04-26,4
2015-05-03,5
2015-05-10,6
2015-05-17,5
2015-05-24,5
2015-05-31,6
2015-06-07,6
2015-06-14,5
2015-06-21,5
2015-06-28,6
2015-07-05,7
2015-07-12,7
2015-07-19,6
2015-07-26,6
2015-08-02,6
2015-08-09,6
2015-08-16,6
2015-08-23,6
2015-08-30,8
2015-09-06,7
2015-09-13,8
2015-09-20,7
2015-09-27,8
2015-10-04,8
2015-10-11,8
2015-10-18,9
2015-10-25,12
2015-11-01,14
2015-11-08,11
2015-11-15,10
2015-11-22,10
2015-11-29,11
2015-12-06,12
2015-12-13,13
2015-12-20,11
2015-12-27,10
2016-01-03,11
2016-01-10,11
2016-01-17,12
2016-01-24,14
2016-01-31,13
2016-02-07,13
2016-02-14,15
2016-02-21,15
2016-02-28,15
2016-03-06,15
2016-03-13,14
2016-03-20,13
2016-03-27,15
2016-04-03,17
2016-04-10,16
2016-04-17,16
2016-04-24,17
2016-05-01,20
2016-05-08,20
2016-05-15,19
2016-05-22,19
2016-05-29,20
2016-06-05,19
2016-06-12,22
2016-06-19,22
2016-06-26,19
2016-07-03,18
2016-07-10,18
2016-07-17,18
2016-07-24,18
2016-07-31,17
2016-08-07,16
2016-08-14,17
2016-08-21,20
2016-08-28,20
2016-09-04,20
2016-09-11,20
2016-09-18,21
2016-09-25,22
2016-10-02,23
2016-10-09,25
2016-10-16,24
2016-10-23,27
2016-10-30,25
2016-11-06,24
2016-11-13,28
2016-11-20,28
2016-11-27,26
2016-12-04,28
2016-12-11,25
2016-12-18,23
2016-12-25,20
2017-01-01,27
2017-01-08,29
2017-01-15,28
2017-01-22,29
2017-01-29,28
2017-02-05,31
2017-02-12,29
2017-02-19,32
2017-02-26,36
2017-03-05,36
2017-03-12,33
2017-03-19,36
2017-03-26,34
2017-04-02,33
2017-04-09,31
2017-04-16,33
2017-04-23,35
2017-04-30,38
2017-05-07,44
2017-05-14,46
2017-05-21,58
2017-05-28,49
2017-06-04,53
2017-06-11,58
2017-06-18,57
2017-06-25,54
2017-07-02,47
2017-07-09,51
2017-07-16,49
2017-07-23,50
2017-07-30,52
2017-08-06,53
2017-08-13,62
2017-08-20,65
2017-08-27,67
2017-09-03,67
2017-09-10,68
2017-09-17,65
2017-09-24,65
2017-10-01,68
2017-10-08,79
2017-10-15,88
2017-10-22,89
2017-10-29,94
2017-11-05,100
2017-11-12,99
2017-11-19,100
2017-11-26,92
